safety_indicator,presence_safety,absence_safety,theme
Kids watch their family members or people they know getting arrested and they can't do anything about it,0,1,"Police, jails & prisons"
You get in trouble for crimes you didn't commit,0,1,"Police, jails & prisons"
"When the cops come, they check to see who has warrants",0,1,"Police, jails & prisons"
"Cops escalate and harass you for small things (weed, public drinking, driving without a license)",0,1,"Police, jails & prisons"
You hear stories about all the bad things that police have done,0,1,"Police, jails & prisons"
"When you see the cops, you know you can't do the things you want to do, like play your music loud",0,1,"Police, jails & prisons"
You raise your vigilance when you see the cops,0,1,"Police, jails & prisons"
"You try to humanize the police, but end up hating them for how they treat you",0,1,"Police, jails & prisons"
Cops don't protect you even when there's a shooting - they just protect themselves,0,1,"Police, jails & prisons"
The cops will try to antagonize you to get a reaction,0,1,"Police, jails & prisons"
Cops know you personally and try to lock you up,0,1,"Police, jails & prisons"
Cops generalize about youth as troublemakers,0,1,"Police, jails & prisons"
New cops hear bad things about the neighborhood and make generalizations about its residents,0,1,"Police, jails & prisons"
The cops stop informal community events like block parties and cookouts from happening,0,1,"Police, jails & prisons"
You have to be extra careful doing small things (like getting a permit for a cookout) because you know the cops are watching,0,1,"Police, jails & prisons"
People don't get on the elevator when they see you riding it,0,1,Racism & Stereotypes
You're not welcome into places like fancy restaurants,0,1,Racism & Stereotypes
People think you can only play certain sports because of the color of your skin,0,1,Racism & Stereotypes
"You get singled out for how you dress, how loud you are or the complexion of your skin",0,1,Racism & Stereotypes
Teachers are openly racist against black and brown students,0,1,Racism & Stereotypes
"People think that because you smoke weed, you're a criminal",0,1,Racism & Stereotypes
"In jail, they tell you, ""this is going to be your life""",0,1,"Police, jails & prisons"
The community won't talk to police officers,0,1,"Police, jails & prisons"
The police will cause conflict just by being at community events,0,1,"Police, jails & prisons"
Police officers use physical aggression against black and brown people,0,1,"Police, jails & prisons"
"Cops can't get their hands on the real criminals, so they harass whoever they can get their hands on",0,1,"Police, jails & prisons"
You feel bad for some cops who you know are the good ones,0,1,"Police, jails & prisons"
You feel safer with people you know than with the police,0,1,"Police, jails & prisons"
Outsiders feel like they have to have a tough persona when they come to this community,0,1,Racism & stereotypes
"Society labels people as ""gang members"" when they're just people",0,1,Racism & stereotypes
"You know when the cops are there, certain bad things (like violent crime) aren't going to happen",1,0,"Police, jails & prisons"
Community members and police officers sit down together to talk to each others,1,0,"Police, jails & prisons"
Cops get to know you as someone who is helping the community,1,0,"Police, jails & prisons"
Police officers show they care by showing up to community events and dialogues,1,0,"Police, jails & prisons"
"When you get home from jail, you make a promise to yourself to change your life",1,0,"Police, jails & prisons"
Some cops will try to talk to a kid's parents before making an incident a big deal,1,0,"Police, jails & prisons"
"Some police try to find a solution instead of just saying, ""you're going to jail""",1,0,"Police, jails & prisons"
"School authorities (teachers, coaches) tell kids their not good at anything",0,1,Intergenerational relations
School authorities tell kids not to come back to school anymore,0,1,Intergenerational relations
Teachers single certain kids out because they think they have influence over other kids,0,1,Intergenerational relations
Adults tell youth not to sell drugs even when they are out selling  drugs themselves,0,1,Intergenerational relations
The older generation and younger generation don't interact with each other,0,1,Intergenerational relations
Youth don't have spaces to be vulnerable with each other,0,1,Kids & youth
Kids don't go outside,0,1,Kids & youth
Kids have parents who are locked up,0,1,Parents & family
"Parents tell their kids to be a doctor or a lawyer, but they've never even seen a doctor or a lawyer in real life",0,1,Parents & family
"Parents expect their kids only to take the good things from being around their role models, not the bad things (selling drugs, crime)",0,1,Parents & family
Girls are groomed by older teens and men,0,1,Intergenerational relations
Kids have to cook for themselves,0,1,Kids & youth
Kids are raised by social media and the TV screen,0,1,Kids & youth
Kids operate in survival mode,0,1,Kids & youth
Kids think they need money so they can look like everyone else,0,1,Kids & youth
Parents struggle to raise their kids because of their own difficult family history,0,1,Parents & family
Parents are scared of their kids,0,1,Parents & family
Kids are raised by foster parents because of drugs or alcohol in the house,0,1,Parents & family
Kids have to hold their own parents accountable for their behavior,0,1,Parents & family
Kids turn to Google and social media as a second parent to learn what their parents should be teaching them,0,1,Parents & family
Parents let their kids do whatever they want on their phones,0,1,Parents & family
Parents let their kids do whatever they want in the streets,0,1,Parents & family
The older generation puts itself on a higher pedestal and looks down on gang members,0,1,Intergenerational relations
"Kids are running the streets at even younger ages now (13, 14, 15)",0,1,Kids & youth
Kids don't have a safe space at home,0,1,Kids & youth
Kids don't respect their parents,0,1,Parents & family
"Parents only tell their kids ""no"", so they go looking for ""yes"" among their peers",0,1,Parents & family
"Parents disrespect their children though physical or verbal abuse (slapping, hitting, cussing out)",0,1,Parents & family
Parents expect their kids to graduate high school even though they didn't actually finish,0,1,Parents & family
School counselors let kids stay at school longer if they don't feel safe at home,1,0,Intergenerational relations
The elders in the community look at kids differently when they start to improve their behavior,1,0,Intergenerational relations
Youth stay away from the street because they have other options,1,0,Kids & youth
Kids feel like they can be kids,1,0,Kids & youth
Youth hold themselves accountable and change their behavior,1,0,Kids & youth
Community members tell kids they're proud of them,1,0,Kids & youth
Youth learn to get back up again when they fall,1,0,Kids & youth
Youth learn life skills and job readiness,1,0,Kids & youth
Kids can talk to their parent(s) about anything,1,0,Parents & family
Kids succeed when sponsors help them out,1,0,Kids & youth
Parents look out for each others' kids and hold each other accountable,1,0,Parents & family
Young people teach each other the skills and positive mindsets that they learn from community groups,1,0,Kids & youth
The neighborhood doesn't have programs for youth,0,1,"Community resources, events & programs"
Youth feel like they don't have anyone to talk to,0,1,Interpersonal & community relations
"Black and brown youth don't show up in spaces of community decision-making, like community meetings, community boards",0,1,Participation
"Black and brown youth feel included on the basketball court or shooting dice, not being active in the community through community meetings or community boards",0,1,Participation
The community doesn't have a way to come together and voice their concerns,0,1,Participation
They cancel community events like Family Day because of the street beef that happens,0,1,"Community resources, events & programs"
There's little accountability for community organizations who get funding to reduce violence,0,1,"Community resources, events & programs"
The community is beefing with itself,0,1,Interpersonal & community relations
The community is racially segregated,0,1,Interpersonal & community relations
Friends from the neighborhood grow apart and end up in different gangs,0,1,Interpersonal & community relations
"It feels like, ""if you're not with me, you're against me""",0,1,Interpersonal & community relations
People see each other across the street but avoid talking to each other,0,1,Interpersonal & community relations
People see someone on the street and think there's a problem because of who they associate that person with,0,1,Interpersonal & community relations
"People in the community don't go to public meetings, like the tenant association meetings, the police meetings, etc.",0,1,Participation
People only pay attention to the street flyers that report on who's missing or wanted,0,1,Participation
"They fix the buildings up in the gentrified areas, but not in the projects",0,1,"Community resources, events & programs"
There's no outreach in the community about events or other resources,0,1,"Community resources, events & programs"
